external_ref,requirement_kind,operator,value_numeric,value_text,is_mandatory,or_group,raw_text,simple_text,remedy_text
"RRB-NURSE-2026","age","lte","40","","TRUE","","20 to 40 years as on prescribed reference date","Maximum age limit of 40 years (Central Railway rules)","Verify OBC/SC/ST age relaxation in CEN 04/2026."
"DSSSB-NO-2026","qualification","in","","bsc_nursing|post_basic|msc","TRUE","dsssb_path_bsc","B.Sc. Nursing / Post Basic B.Sc. Nursing from INC recognized university (0 exp required)","B.Sc. Nursing / Post Basic (0 exp required) (Path 1)","Complete B.Sc. Nursing."
"DSSSB-NO-2026","qualification","in","","gnm","TRUE","dsssb_path_gnm","Diploma in General Nursing & Midwifery (GNM) with 1 year experience in minimum 50 bedded hospital","GNM Diploma with 1 year experience (Path 2)","Complete GNM Diploma and 1 year hospital experience."
"DSSSB-NO-2026","experience","gte","1","","TRUE","dsssb_path_gnm","1 year experience in minimum 50 bedded hospital after GNM qualification","1 year experience in 50-bed hospital (for GNM)","Complete 1 year of clinical service in a 50+ bed hospital."
"DSSSB-NO-2026","registration","exists","","","TRUE","","Registered as Nurse and Midwife with Delhi Nursing Council (DNC)","Delhi Nursing Council (DNC) registration","Transfer or register with Delhi Nursing Council."
"DSSSB-NO-2026","age","lte","30","","TRUE","","18 to 30 years as on closing date of application","Maximum age 30 years on closing date","Check Delhi Govt age relaxation rules."
"JIPMER-NO-2026","qualification","in","","bsc_nursing|post_basic|msc","TRUE","jipmer_path_bsc","B.Sc. Nursing / Post Basic B.Sc. Nursing from INC recognized Institute (0 exp required)","B.Sc. Nursing / Post Basic (0 exp required) (Path 1)","Complete B.Sc. Nursing."
"JIPMER-NO-2026","qualification","in","","gnm","TRUE","jipmer_path_gnm","Diploma in General Nursing & Midwifery with 2 years experience in minimum 50 bedded hospital","GNM Diploma with 2 years experience (Path 2)","Complete GNM and 2 years hospital service."
"JIPMER-NO-2026","experience","gte","2","","TRUE","jipmer_path_gnm","Two years experience in minimum 50 bedded hospital after acquiring educational qualification","2 years experience in 50-bed hospital (for GNM)","Complete 2 years clinical service."
"JIPMER-NO-2026","registration","exists","","","TRUE","","Registered as Nurse and Midwife with State Nursing Council or INC","Valid Nursing Council Registration","Ensure active council registration."
"JIPMER-NO-2026","age","lte","35","","TRUE","","Up to 35 years as on closing date","Maximum age 35 years","Check reservation age relaxations."
"KAR-KPSC-NURSE-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","Passed B.Sc. Nursing or GNM Course from an institution recognized by Government of Karnataka","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"KAR-KPSC-NURSE-2026","registration","exists","","","TRUE","","Registered with Karnataka Nursing Council (KNC) as Nurse and Midwife","Karnataka Nursing Council (KNC) registration","Register or obtain reciprocity transfer with Karnataka Nursing Council."
"MAHA-DHS-NURSE-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","Must possess B.Sc. Nursing degree or GNM diploma","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"MAHA-DHS-NURSE-2026","registration","exists","","","TRUE","","Must be registered with Maharashtra Nursing Council (MNC)","Maharashtra Nursing Council (MNC) registration","Ensure your active registration with Maharashtra Nursing Council."
"TN-MRB-NURSE-2026","qualification","in","","gnm|bsc_nursing|post_basic|msc","TRUE","","Successful completion of Diploma in General Nursing and Midwifery or Degree in B.Sc. Nursing","GNM Diploma or B.Sc. Nursing","Complete GNM or B.Sc. Nursing."
"TN-MRB-NURSE-2026","registration","exists","","","TRUE","","Must be registered with the Tamil Nadu Nurses and Midwives Council (TNC)","Tamil Nadu Nurses and Midwives Council registration","Register with Tamil Nadu Nurses and Midwives Council (TNC)."
"KERALA-PSC-NURSE-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","A pass in Plus Two with General Nursing & Midwifery or B.Sc. Nursing","B.Sc. Nursing or GNM diploma","Complete GNM or B.Sc. Nursing."
"KERALA-PSC-NURSE-2026","registration","exists","","","TRUE","","Certificate of Registration with the Kerala Nurses and Midwives Council (KNMC)","Kerala Nurses and Midwives Council (KNMC) registration","Register or renew your license with KNMC."
"UP-UPUMS-NURSE-2026","qualification","in","","bsc_nursing|post_basic|msc","TRUE","upums_path_bsc","B.Sc. (Hons.) Nursing / B.Sc. Nursing / Post Basic B.Sc. from INC recognized Institute (0 exp)","B.Sc. Nursing / Post Basic (0 exp required) (Path 1)","Complete B.Sc. Nursing."
"UP-UPUMS-NURSE-2026","qualification","in","","gnm","TRUE","upums_path_gnm","Diploma in GNM with 2 years experience in minimum 50 bedded hospital","GNM Diploma (Path 2)","Complete GNM diploma."
"UP-UPUMS-NURSE-2026","experience","gte","2","","TRUE","upums_path_gnm","Two years experience in min 50 bedded hospital for GNM candidates","2 years hospital experience (for GNM)","Complete 2 years of hospital service."
"RAJ-RSSB-NURSE-2026","qualification","in","","gnm|bsc_nursing|post_basic|msc","TRUE","","GNM course or its equivalent qualification from an institute recognized by State Govt","GNM or B.Sc. Nursing","Complete GNM or B.Sc. Nursing."
"RAJ-RSSB-NURSE-2026","registration","exists","","","TRUE","","Registration in Rajasthan Nursing Council (RNC) as 'B' Grade Nurse","Rajasthan Nursing Council (RNC) registration","Register or obtain registration with RNC Jaipur."
"WB-WBHRB-NURSE-2026","qualification","in","","gnm|bsc_nursing|post_basic|msc","TRUE","","General Nursing and Midwifery (GNM) / Basic B.Sc. Nursing / Post Basic B.Sc. from WBNC recognized institution","GNM or Basic B.Sc. Nursing degree","Complete GNM or B.Sc. Nursing."
"WB-WBHRB-NURSE-2026","registration","exists","","","TRUE","","Registration Certificate from West Bengal Nursing Council (WBNC)","West Bengal Nursing Council (WBNC) registration","Obtain reciprocal registration with West Bengal Nursing Council."
"BIHAR-BTSC-NURSE-2026","qualification","in","","gnm|bsc_nursing|post_basic|msc","TRUE","","GNM Training Certificate / B.Sc. Nursing from Indian Nursing Council recognized college","GNM Diploma or B.Sc. Nursing","Complete GNM or B.Sc. Nursing."
"BIHAR-BTSC-NURSE-2026","registration","exists","","","TRUE","","Registration with Bihar Nurses Registration Council (BNRC Patna)","Bihar Nurses Registration Council (BNRC) registration","Register with BNRC Patna."
"TS-MHSRB-NURSE-2026","qualification","in","","gnm|bsc_nursing|post_basic|msc","TRUE","","Must possess General Nursing and Midwifery (GNM) or B.Sc. Nursing","GNM or B.Sc. Nursing degree","Complete GNM or B.Sc. Nursing."
"TS-MHSRB-NURSE-2026","registration","exists","","","TRUE","","Must be registered with Telangana State Nursing and Midwives Council","Telangana State Nursing Council registration","Register with Telangana State Nursing Council."
"ODISHA-OSSSC-NURSE-2026","qualification","in","","gnm|bsc_nursing|post_basic|msc","TRUE","","Passed GNM or B.Sc. Nursing from an INC recognized institution","GNM or B.Sc. Nursing degree","Complete GNM or B.Sc. Nursing."
"ODISHA-OSSSC-NURSE-2026","registration","exists","","","TRUE","","Must be registered with the Odisha Nursing and Midwives Council (ONMRC)","Odisha Nursing and Midwives Council (ONMRC) registration","Register with ONMRC Bhubaneswar."
"GUJ-GMC-NURSE-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","Degree of B.Sc. (Nursing) or Diploma in General Nursing and Midwifery","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"GUJ-GMC-NURSE-2026","registration","exists","","","TRUE","","Registration with Gujarat Nursing Council (GNC)","Gujarat Nursing Council (GNC) registration","Register with Gujarat Nursing Council."
"MP-NHM-NURSE-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","Passed B.Sc. Nursing or GNM from a recognized university/board","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"MP-NHM-NURSE-2026","registration","exists","","","TRUE","","Valid Live Registration in Madhya Pradesh Nurses Registration Council (MPNRC)","Madhya Pradesh Nurses Registration Council registration","Renew or register with MPNRC Bhopal."
"NH-BLR-PICU-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","B.Sc. Nursing or GNM with active State Nursing Council registration","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"NH-BLR-PICU-2026","experience","gte","1","","TRUE","","Minimum 1 year clinical experience in Pediatric ICU or Neonatal ICU in NABH hospital","1 year PICU / NICU experience","Complete 1 year pediatric critical care service."
"NH-BLR-PICU-2026","registration","exists","","","TRUE","","Active Registration with Karnataka Nursing Council (KNC)","Karnataka Nursing Council (KNC) registration","Ensure active KNC registration."
"MEDANTA-GUR-ONCO-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","B.Sc. Nursing or GNM with valid State Nursing Council registration","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"MEDANTA-GUR-ONCO-2026","experience","gte","2","","TRUE","","Minimum 2 years experience in Medical / Surgical Oncology or Chemotherapy administration","2 years Oncology experience","Complete 2 years oncology clinical service."
"APOLLO-HYD-ICU-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","B.Sc. Nursing or GNM with State Nursing Council registration","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"APOLLO-HYD-ICU-2026","experience","gte","1","","TRUE","","Minimum 1 year experience in Medical ICU / CCU in a multi-speciality tertiary care hospital","1 year Medical ICU experience","Gain 1 year ICU clinical service."
"APOLLO-HYD-ICU-2026","registration","exists","","","TRUE","","Registered with Telangana State Nursing Council or reciprocity transfer","Telangana State Nursing Council registration","Ensure active TS nursing registration."
"MANIPAL-JAI-NURSE-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","B.Sc. Nursing or GNM with Rajasthan Nursing Council registration","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"MANIPAL-JAI-NURSE-2026","experience","gte","1","","TRUE","","Minimum 1 year experience in Inpatient Ward / Surgical Post-Op care","1 year Inpatient experience","Gain 1 year hospital ward experience."
"FORTIS-KOL-OT-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","B.Sc. Nursing or GNM with West Bengal Nursing Council registration","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"FORTIS-KOL-OT-2026","experience","gte","2","","TRUE","","Minimum 2 years experience in Operation Theatre scrubbing and sterile field management","2 years OT experience","Complete 2 years OT clinical service."
"MANIPAL-BLR-ICU-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","B.Sc. Nursing or GNM with active State Nursing Council registration","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"MANIPAL-BLR-ICU-2026","experience","gte","2","","TRUE","","Minimum 2 years clinical experience in Medical / Surgical ICU in a 100+ bed NABH hospital","2 years ICU experience","Complete 2 years of ICU service in a multi-speciality hospital."
"APOLLO-CHN-OT-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","Degree in B.Sc. Nursing or Diploma in GNM with Tamil Nadu Nursing Council registration","B.Sc. Nursing or GNM diploma","Complete B.Sc. Nursing or GNM."
"APOLLO-CHN-OT-2026","experience","gte","1","","TRUE","","Minimum 1 year clinical experience in major surgical Operation Theatre & scrubbing techniques","1 year OT experience","Gain 1 year OT experience."
"MAX-DELHI-ER-2026","qualification","in","","bsc_nursing|post_basic|msc","TRUE","","B.Sc. Nursing with valid Delhi Nursing Council (DNC) registration","B.Sc. Nursing degree","Complete B.Sc. Nursing."
"MAX-DELHI-ER-2026","experience","gte","1","","TRUE","","Minimum 1 year experience in Emergency & Trauma triage with active BLS / ACLS certification","1 year Emergency / Trauma experience","Complete 1 year emergency department service."
"FORTIS-MUM-CATH-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","B.Sc. Nursing or GNM with Maharashtra Nursing Council registration","B.Sc. Nursing or GNM","Complete B.Sc. Nursing or GNM."
"FORTIS-MUM-CATH-2026","experience","gte","2","","TRUE","","Minimum 2 years experience in Cardiac Catheterization Laboratory & CCU care","2 years Cath Lab / CCU experience","Complete 2 years cardiology clinical service."
"APOLLO-BLR-CARD-2026","qualification","in","","bsc_nursing|gnm|post_basic|msc","TRUE","","B.Sc. Nursing or GNM with Karnataka Nursing Council (KNC) registration","B.Sc. Nursing or GNM","Complete B.Sc. Nursing or GNM."
"APOLLO-BLR-CARD-2026","experience","gte","2","","TRUE","","Minimum 2 years experience in CCU / Cath Lab in a tertiary care hospital","2 years CCU experience","Complete 2 years CCU service."
