external_ref,profession,opportunity_type,slug,title,organisation,job_type,location_state,location_city,role,qualification_summary,experience_min_years,experience_max_years,salary_min,salary_max,salary_raw,vacancy_count,application_start,application_deadline,exam_date,status,description_simple,official_notification_url,application_url,source_url,source_type,last_verified_at,curator,notes
"UP-UPUMS-NURSE-2026","nursing","job","upums-saifai-up-state-medical-colleges-nursing-officer-computer-based-examination-2026-2026","Nursing Officer (Computer Based Examination 2026)","UPUMS Saifai & UP State Medical Colleges","government","Uttar Pradesh","Saifai (Etawah), Lucknow & Kanpur","nursing_officer","B.Sc. Nursing / Post Basic B.Sc. OR GNM with 2 yrs exp in min 50 bedded hospital","0","","531000","1678000","Pay Matrix Level 7 (Rs. 44,900 - 1,42,400)","535","2026-08-15","2026-09-22","","open","What is this?
A government vacancy for 535 Nursing Officer posts at UPUMS Saifai.

Who can apply?
B.Sc. Nursing (0 exp) OR GNM with 2 yrs exp in min 50 bed hospital.

Important dates:
Applications close on 22 September 2026.","https://www.upums.ac.in","https://www.upums.ac.in","https://www.upums.ac.in","official","2026-08-27","SkillCase Editorial Team","CBT mode selection."
"RAJ-RSSB-NURSE-2026","nursing","exam","rajasthan-staff-selection-board-rsmssb-rajasthan-staff-nurse-gnm-direct-recruitment-exam-2026","Rajasthan Staff Nurse (GNM) Direct Recruitment Exam 2026","Rajasthan Staff Selection Board (RSMSSB)","","","","staff_nurse","GNM Course or equivalent with RNC (Rajasthan Nursing Council) Registration","0","","405000","860000","Pay Matrix Level L-10 (Rs. 33,800 - 1,06,700)","1588","2026-08-08","2026-09-18","2026-11-08","open","What is this?
A state recruitment examination for 1,588 Staff Nurse (GNM) posts at RSMSSB.

Who can apply?
GNM Course or equivalent with RNC Registration.

Important dates:
Applications close on 18 September 2026. Examination scheduled for 8 November 2026.","https://rsmssb.rajasthan.gov.in","https://sso.rajasthan.gov.in","https://rsmssb.rajasthan.gov.in","official","2026-08-27","SkillCase Editorial Team","Rajasthan GNM direct recruitment."
"WB-WBHRB-NURSE-2026","nursing","job","west-bengal-health-recruitment-board-wbhrb-staff-nurse-grade-ii-basic-b-sc-gnm-cadre-2026","Staff Nurse Grade II (Basic B.Sc. & GNM Cadre)","West Bengal Health Recruitment Board (WBHRB)","government","West Bengal","Kolkata & Sub-Divisional Medical Colleges","staff_nurse","GNM or Basic B.Sc. Nursing with WBNC Registration","0","","425000","890000","Pay Level 9 (Rs. 28,900 - 74,500 + Uniform & Wash Allowance)","1150","2026-08-14","2026-09-25","","open","What is this?
A government vacancy for 1,150 Staff Nurse Grade II posts at WBHRB.

Who can apply?
GNM or Basic B.Sc. Nursing with West Bengal Nursing Council (WBNC) registration.

Important dates:
Applications close on 25 September 2026.","https://www.wbhrb.in","https://www.wbhrb.in","https://www.wbhrb.in","official","2026-08-27","SkillCase Editorial Team","WB health cadre."
"BIHAR-BTSC-NURSE-2026","nursing","job","bihar-technical-service-commission-btsc-tutor-staff-nurse-a-grade-recruitment-2026","Staff Nurse (A-Grade) / Nursing Tutor","Bihar Technical Service Commission (BTSC)","government","Bihar","Patna & District Sadar Hospitals","staff_nurse","GNM Diploma or B.Sc. Nursing with BNRC Registration","0","","450000","960000","Pay Scale Level 7 (Rs. 44,900 - 1,42,400)","1200","2026-08-05","2026-09-20","","open","What is this?
A government vacancy for 1,200 Staff Nurse (A-Grade) posts at BTSC Bihar.

Who can apply?
GNM Diploma or B.Sc. Nursing with Bihar Nursing Registration Council (BNRC) registration.

Important dates:
Applications close on 20 September 2026.","https://btsc.bih.nic.in","https://btsc.bih.nic.in","https://btsc.bih.nic.in","official","2026-08-27","SkillCase Editorial Team","BTSC Advt 01/2026."
"TS-MHSRB-NURSE-2026","nursing","exam","medical-health-services-recruitment-board-mhsrb-telangana-staff-nurse-recruitment-examination-2026","Staff Nurse Recruitment Examination 2026","Medical Health Services Recruitment Board (MHSRB Telangana)","","","","staff_nurse","GNM or B.Sc. Nursing with Telangana State Nursing Council Registration","0","","440000","950000","Scale of Pay Rs. 36,750 - 89,250 (Telangana Revised Scale)","1240","2026-08-16","2026-09-28","2026-11-22","open","What is this?
A state recruitment examination for 1,240 Staff Nurse posts at MHSRB Telangana.

Who can apply?
GNM or B.Sc. Nursing with Telangana State Nursing Council Registration.

Important dates:
Applications close on 28 September 2026. Examination scheduled for 22 November 2026.","https://mhsrb.telangana.gov.in","https://mhsrb.telangana.gov.in","https://mhsrb.telangana.gov.in","official","2026-08-27","SkillCase Editorial Team","Includes service weightage."
"ODISHA-OSSSC-NURSE-2026","nursing","job","odisha-sub-ordinate-staff-selection-commission-osssc-nursing-officer-district-cadre-2026","Nursing Officer (District Cadre Group C)","Odisha Sub-ordinate Staff Selection Commission (OSSSC)","government","Odisha","Bhubaneswar, Cuttack & District Headquarters Hospitals","nursing_officer","B.Sc. Nursing or GNM with ONMRC Registration","0","","380000","820000","Pay Matrix Level 8 (Rs. 29,200 - 92,300)","750","2026-08-11","2026-09-26","","open","What is this?
A government vacancy for 750 Nursing Officer posts at OSSSC Odisha.

Who can apply?
B.Sc. Nursing or GNM with Odisha Nursing Council (ONMRC) registration.

Important dates:
Applications close on 26 September 2026.","https://www.osssc.gov.in","https://www.osssc.gov.in","https://www.osssc.gov.in","official","2026-08-27","SkillCase Editorial Team","District cadre recruitment."
"GUJ-GMC-NURSE-2026","nursing","job","gujarat-medical-education-and-research-society-gmers-staff-nurse-class-iii-2026","Staff Nurse (Class III - GMERS Medical Colleges)","Gujarat Medical Services / GMERS","government","Gujarat","Ahmedabad, Vadodara, Surat & Rajkot","staff_nurse","B.Sc. Nursing or GNM with Gujarat Nursing Council (GNC) Registration","0","","390000","850000","Pay Matrix Level 5 (Fixed Rs. 26,000 for 5 years then Regular Level 5)","480","2026-08-17","2026-09-28","","open","What is this?
A government vacancy for 480 Staff Nurse posts at GMERS Gujarat.

Who can apply?
B.Sc. Nursing or GNM with Gujarat Nursing Council (GNC) Registration.

Important dates:
Applications close on 28 September 2026.","https://gmers.gujarat.gov.in","https://ojas.gujarat.gov.in","https://gmers.gujarat.gov.in","official","2026-08-27","SkillCase Editorial Team","OJAS portal application."
"MP-NHM-NURSE-2026","nursing","job","national-health-mission-nhm-madhya-pradesh-contractual-staff-nurse-recruitment-2026","Contractual Staff Nurse (National Health Mission MP)","National Health Mission (NHM Madhya Pradesh)","government","Madhya Pradesh","Bhopal, Indore, Jabalpur & District Hospitals","staff_nurse","B.Sc. Nursing or GNM with MPNRC Live Registration","0","","240000","360000","Fixed Honorarium Rs. 20,000 / month","620","2026-08-10","2026-09-25","","open","What is this?
A government vacancy for 620 Contractual Staff Nurse posts at NHM MP.

Who can apply?
B.Sc. Nursing or GNM with MPNRC Live Registration.

Important dates:
Applications close on 25 September 2026.","https://nhmmp.gov.in","https://www.mponline.gov.in","https://nhmmp.gov.in","official","2026-08-27","SkillCase Editorial Team","MPOnline portal registration."
"MANIPAL-BLR-ICU-2026","nursing","job","manipal-hospital-bengaluru-senior-icu-nurse-critical-care-unit-2026","Senior ICU Nurse (Critical Care Unit)","Manipal Hospital Bengaluru","private","Karnataka","Bengaluru (Old Airport Road & Whitefield)","icu","B.Sc. Nursing / GNM + min 2 yrs experience in Medical/Surgical ICU","2","","360000","540000","Rs. 30,000 - 45,000 / month (based on experience & clinical score)","18","2026-08-01","2026-09-30","","open","What is this?
A private healthcare opportunity for 18 Senior ICU Nurse posts at Manipal Hospital Bengaluru.

Who can apply?
B.Sc. Nursing / GNM + min 2 yrs experience in Medical/Surgical ICU.

Important dates:
Applications close on 30 September 2026.","https://www.manipalhospitals.com/careers/","https://www.manipalhospitals.com/careers/","https://www.manipalhospitals.com","official","2026-08-27","SkillCase Editorial Team","NABH accredited tertiary hospital."
"APOLLO-CHN-OT-2026","nursing","job","apollo-hospitals-greams-road-staff-nurse-operation-theatre-surgical-suites-2026","Staff Nurse (Operation Theatre & Surgical Suites)","Apollo Hospitals Greams Road","private","Tamil Nadu","Chennai (Greams Road)","ot","B.Sc. Nursing or GNM with 1+ yr experience in OT scrubbing & sterile prep","1","","340000","500000","Rs. 28,000 - 42,000 / month + Shift Allowances","25","2026-08-05","2026-09-25","","open","What is this?
A private healthcare opportunity for 25 Staff Nurse posts at Apollo Hospitals Greams Road Chennai.

Who can apply?
B.Sc. Nursing or GNM with 1+ yr experience in OT scrubbing & sterile prep.

Important dates:
Applications close on 25 September 2026.","https://careers.apollohospitals.com","https://careers.apollohospitals.com","https://www.apollohospitals.com","official","2026-08-27","SkillCase Editorial Team","JCI accredited facility."
"MAX-DELHI-ER-2026","nursing","job","max-super-speciality-hospital-saket-emergency-trauma-care-staff-nurse-2026","Emergency & Trauma Care Staff Nurse","Max Super Speciality Hospital Saket","private","Delhi","New Delhi (Saket & Shalimar Bagh)","emergency","B.Sc. Nursing + 1+ yr experience in Emergency Triage / Trauma with BLS/ACLS","1","","380000","580000","Rs. 32,000 - 48,000 / month + Night Shift Allowance","20","2026-08-08","2026-09-28","","open","What is this?
A private healthcare opportunity for 20 Emergency Staff Nurse posts at Max Super Speciality Hospital Saket.

Who can apply?
B.Sc. Nursing with 1+ yr experience in Emergency Triage / Trauma.

Important dates:
Applications close on 28 September 2026.","https://www.maxhealthcare.in/careers","https://www.maxhealthcare.in/careers","https://www.maxhealthcare.in","official","2026-08-27","SkillCase Editorial Team","BLS/ACLS preferred."
"FORTIS-MUM-CATH-2026","nursing","job","fortis-hospital-mulund-cardiac-catheterization-lab-ccu-staff-nurse-2026","Cardiac Catheterization Lab & CCU Staff Nurse","Fortis Hospital Mulund","private","Maharashtra","Mumbai (Mulund West)","icu","B.Sc. Nursing or GNM with 2+ yrs experience in Cath Lab / Cardiac ICU","2","","400000","620000","Rs. 34,000 - 52,000 / month + Specialty Allowance","12","2026-08-12","2026-10-05","","open","What is this?
A private healthcare opportunity for 12 Cardiac Cath Lab Nurse posts at Fortis Hospital Mulund Mumbai.

Who can apply?
B.Sc. Nursing or GNM with 2+ yrs experience in Cath Lab / Cardiac ICU.

Important dates:
Applications close on 05 October 2026.","https://www.fortishealthcare.com/careers","https://www.fortishealthcare.com/careers","https://www.fortishealthcare.com","official","2026-08-27","SkillCase Editorial Team","Cardiology specialty."
"APOLLO-BLR-CARD-2026","nursing","job","apollo-hospitals-bannerghatta-cardiac-icu-staff-nurse-2026","Cardiac ICU Staff Nurse","Apollo Hospitals Bannerghatta","private","Karnataka","Bengaluru (Bannerghatta Road)","icu","B.Sc. Nursing or GNM with 2+ yrs experience in Cardiac ICU / CCU","2","","360000","550000","Rs. 30,000 - 46,000 / month + Shift Allowances","15","2026-08-10","2026-10-02","","open","What is this?
A private healthcare opportunity for 15 Cardiac ICU Staff Nurse posts at Apollo Hospitals Bannerghatta.

Who can apply?
B.Sc. Nursing or GNM with 2+ yrs experience in Cardiac ICU / CCU.

Important dates:
Applications close on 02 October 2026.","https://careers.apollohospitals.com","https://careers.apollohospitals.com","https://www.apollohospitals.com","official","2026-08-27","SkillCase Editorial Team","Cardiac care unit."
"NH-BLR-PICU-2026","nursing","job","narayana-health-city-pediatric-icu-picu-staff-nurse-2026","Pediatric ICU (PICU) Staff Nurse","Narayana Health City","private","Karnataka","Bengaluru (Bommasandra)","icu","B.Sc. Nursing / GNM with 1+ yr experience in Pediatric / Neonatal ICU","1","","350000","520000","Rs. 29,000 - 44,000 / month","14","2026-08-04","2026-09-30","","open","What is this?
A private healthcare opportunity for 14 PICU Nurse posts at Narayana Health City Bengaluru.

Who can apply?
B.Sc. Nursing / GNM with 1+ yr experience in Pediatric / Neonatal ICU.

Important dates:
Applications close on 30 September 2026.","https://www.narayanahealth.org/careers","https://www.narayanahealth.org/careers","https://www.narayanahealth.org","official","2026-08-27","SkillCase Editorial Team","Pediatric critical care."
"MEDANTA-GUR-ONCO-2026","nursing","job","medanta-the-medicity-oncology-chemotherapy-staff-nurse-2026","Oncology & Chemotherapy Staff Nurse","Medanta The Medicity","private","Haryana","Gurugram (Sector 38)","ward_nurse","B.Sc. Nursing / GNM with 2+ yrs experience in Medical Oncology / Chemo Administration","2","","420000","650000","Rs. 35,000 - 55,000 / month","10","2026-08-06","2026-10-01","","open","What is this?
A private healthcare opportunity for 10 Oncology Nurse posts at Medanta The Medicity Gurugram.

Who can apply?
B.Sc. Nursing / GNM with 2+ yrs experience in Medical Oncology / Chemo Administration.

Important dates:
Applications close on 01 October 2026.","https://www.medanta.org/careers","https://www.medanta.org/careers","https://www.medanta.org","official","2026-08-27","SkillCase Editorial Team","Oncology specialized center."
"APOLLO-HYD-ICU-2026","nursing","job","apollo-hospitals-jubilee-hills-medical-icu-staff-nurse-2026","Medical ICU Staff Nurse","Apollo Hospitals Jubilee Hills","private","Telangana","Hyderabad (Jubilee Hills)","icu","B.Sc. Nursing / GNM with 1+ yr experience in Critical Care / MICU","1","","350000","530000","Rs. 29,000 - 45,000 / month","16","2026-08-02","2026-09-28","","open","What is this?
A private healthcare opportunity for 16 Medical ICU Staff Nurse posts at Apollo Hospitals Jubilee Hills.

Who can apply?
B.Sc. Nursing / GNM with 1+ yr experience in Critical Care / MICU.

Important dates:
Applications close on 28 September 2026.","https://careers.apollohospitals.com","https://careers.apollohospitals.com","https://www.apollohospitals.com","official","2026-08-27","SkillCase Editorial Team","NABH & JCI accredited."
"MANIPAL-JAI-NURSE-2026","nursing","job","manipal-hospital-jaipur-inpatient-ward-staff-nurse-2026","Inpatient Ward Staff Nurse","Manipal Hospital Jaipur","private","Rajasthan","Jaipur (Vidhyadhar Nagar)","ward_nurse","B.Sc. Nursing / GNM with 1+ yr experience in Inpatient / Post-Op Care","1","","300000","440000","Rs. 25,000 - 37,000 / month","12","2026-08-05","2026-09-26","","open","What is this?
A private healthcare opportunity for 12 Inpatient Ward Nurse posts at Manipal Hospital Jaipur.

Who can apply?
B.Sc. Nursing / GNM with 1+ yr experience in Inpatient / Post-Op Care.

Important dates:
Applications close on 26 September 2026.","https://www.manipalhospitals.com/careers/","https://www.manipalhospitals.com/careers/","https://www.manipalhospitals.com","official","2026-08-27","SkillCase Editorial Team","Inpatient surgical & medical wards."
"FORTIS-KOL-OT-2026","nursing","job","fortis-hospital-anandapur-operation-theatre-staff-nurse-2026","Operation Theatre Staff Nurse","Fortis Hospital Anandapur","private","West Bengal","Kolkata (Anandapur)","ot","B.Sc. Nursing / GNM with 2+ yrs experience in Surgical OT & Scrubbing","2","","340000","510000","Rs. 28,000 - 43,000 / month","10","2026-08-07","2026-09-29","","open","What is this?
A private healthcare opportunity for 10 Operation Theatre Nurse posts at Fortis Hospital Kolkata.

Who can apply?
B.Sc. Nursing / GNM with 2+ yrs experience in Surgical OT & Scrubbing.

Important dates:
Applications close on 29 September 2026.","https://www.fortishealthcare.com/careers","https://www.fortishealthcare.com/careers","https://www.fortishealthcare.com","official","2026-08-27","SkillCase Editorial Team","Tertiary multi-specialty surgical suites."
